"ca" "datosECVmas16.prov" "nomprov" "datosECVmas16.gen" "edad" "nac" "neduc" "sitlab" "ingnorm" "horas" "factorel"
13 28 "Madrid" 1 2 1 3 1 7368.2 35.69 4932
13 28 "Madrid" 2 2 1 3 3 19127 0 4932
13 28 "Madrid" 2 2 1 3 1 13390.8 35 4112.7
13 28 "Madrid" 1 2 1 2 3 12147.6 0 4112.7
13 28 "Madrid" 1 3 1 1 1 4626.4 37.25 2852.7
13 28 "Madrid" 2 3 1 1 1 17460.4 36.79 2852.7
13 28 "Madrid" 1 2 1 2 1 8985.7 32.07 2852.7
13 28 "Madrid" 1 4 1 1 3 13820.5 0 6220.5
13 28 "Madrid" 2 4 1 1 3 20349.7 0 6220.5
13 28 "Madrid" 2 4 1 3 3 11226.4 0 5321.6
13 28 "Madrid" 2 3 1 3 3 25101.8 0 5321.6
13 28 "Madrid" 2 2 1 3 1 26907.9 29.85 6869.8
13 28 "Madrid" 1 2 1 3 1 9418.1 34.42 6869.8
13 28 "Madrid" 2 3 1 2 1 9735.6 34.1 2436.6
13 28 "Madrid" 1 3 1 2 1 17614.2 30.54 2436.6
13 28 "Madrid" 2 1 1 2 2 19581.7 0 2436.6
13 28 "Madrid" 2 1 1 2 1 12170 33.07 2436.6
13 28 "Madrid" 2 3 1 2 1 25264.2 35.17 1782
13 28 "Madrid" 1 2 2 2 1 12578.6 31.05 2894
13 28 "Madrid" 2 2 2 2 1 18425.4 37.92 2894
13 28 "Madrid" 1 3 1 2 1 13255.6 35.02 4532.9
13 28 "Madrid" 2 3 1 2 3 4749.9 0 4532.9
13 28 "Madrid" 1 1 1 2 2 8090 0 4532.9
13 28 "Madrid" 1 1 1 2 1 10330.7 32.37 4532.9
13 28 "Madrid" 2 4 1 3 1 16866.8 34.05 1556.7
13 28 "Madrid" 1 3 1 3 1 23582.5 31.82 1556.7
13 28 "Madrid" 2 1 1 2 3 12814 0 1556.7
13 28 "Madrid" 2 4 1 2 3 10153.5 0 1659.2
13 28 "Madrid" 1 2 1 2 1 9517.7 37.17 9105.7
13 28 "Madrid" 2 2 1 2 1 13854.4 32.6 9105.7
13 28 "Madrid" 1 4 1 1 3 11737.9 0 2515.8
13 28 "Madrid" 2 4 1 1 3 11969.4 0 2515.8
13 28 "Madrid" 1 2 1 2 3 21973.8 0 2770.1
13 28 "Madrid" 2 3 1 2 3 11035.9 0 2770.1
13 28 "Madrid" 1 2 1 2 1 12594.5 32.51 3145.3
13 28 "Madrid" 2 2 1 2 3 12559.7 0 3145.3
13 28 "Madrid" 2 2 1 3 1 13366.7 31.1 6847.4
13 28 "Madrid" 1 3 1 2 1 5773 32.27 2292.5
13 28 "Madrid" 1 2 1 3 1 10977.7 32.7 2719.9
13 28 "Madrid" 2 2 1 3 1 25747 36.87 2719.9
13 28 "Madrid" 1 2 1 3 1 37276.3 35.88 2640.9
13 28 "Madrid" 2 2 1 3 1 33296.3 32.22 2640.9
13 28 "Madrid" 2 4 1 3 3 17225 0 2299.5
13 28 "Madrid" 2 2 1 2 1 10021.8 31.67 3679.7
13 28 "Madrid" 1 4 1 1 3 7613.2 0 3931.3
13 28 "Madrid" 2 4 1 1 3 7864.9 0 3931.3
13 28 "Madrid" 1 3 1 2 1 12722.7 26.6 5476.6
13 28 "Madrid" 2 2 1 2 3 5108.9 0 5476.6
13 28 "Madrid" 2 1 1 2 1 5861.1 38.01 5476.6
13 28 "Madrid" 2 1 1 2 1 16477.2 32.72 5476.6
13 28 "Madrid" 2 3 1 3 1 13291.8 29.95 5319.1
13 28 "Madrid" 1 3 1 2 1 14177.9 31.95 5319.1
13 28 "Madrid" 2 3 1 2 3 13971.3 0 2216.5
13 28 "Madrid" 1 4 1 3 3 15092.6 0 1778.9
13 28 "Madrid" 2 4 1 1 3 18035 0 1778.9
13 28 "Madrid" 1 2 2 2 1 6720 32.52 4307.6
13 28 "Madrid" 2 2 2 1 3 11565.2 0 4307.6
13 28 "Madrid" 2 1 1 3 1 22780 33.44 4307.6
13 28 "Madrid" 1 1 1 2 3 11936.8 0 4307.6
13 28 "Madrid" 1 4 1 2 3 14454.8 0 3613.8
13 28 "Madrid" 1 3 1 2 1 8992.6 33.5 5723.2
13 28 "Madrid" 2 3 1 2 1 11028.4 30.53 5723.2
13 28 "Madrid" 1 1 1 2 1 16222.6 33.94 5723.2
13 28 "Madrid" 1 3 1 2 1 18834.3 31.4 6314.2
13 28 "Madrid" 2 3 1 2 3 26451.5 0 6314.2
13 28 "Madrid" 2 1 1 2 1 11437.5 37.38 6314.2
13 28 "Madrid" 2 4 1 2 3 3655.6 0 6314.2
13 28 "Madrid" 1 2 1 3 1 18176.6 35.4 2885.5
13 28 "Madrid" 2 2 1 3 1 15917.5 26.91 2885.5
13 28 "Madrid" 1 2 1 2 1 36382 33.4 3812.6
13 28 "Madrid" 2 2 1 2 3 10763.8 0 3812.6
13 28 "Madrid" 1 3 1 3 1 33747.5 34.17 2436
13 28 "Madrid" 2 3 1 2 3 20854.1 0 2436
13 28 "Madrid" 2 2 2 1 3 10671.3 0 2436
13 28 "Madrid" 2 1 1 2 3 6343.6 0 2436
13 28 "Madrid" 1 2 1 3 1 20338.9 32.87 1483.8
13 28 "Madrid" 2 2 1 3 1 12022.4 32.61 1483.8
13 28 "Madrid" 2 4 1 3 3 22477.8 0 7996.6
13 28 "Madrid" 1 2 1 3 1 25499.1 34.96 7996.6
13 28 "Madrid" 1 2 1 3 1 15911.9 31.99 9909.5
13 28 "Madrid" 2 2 1 3 1 20033.3 35.89 9909.5
13 28 "Madrid" 1 2 1 1 1 9237.9 41.75 1621.6
13 28 "Madrid" 2 2 1 1 3 745.3 0 1621.6
13 28 "Madrid" 1 1 1 2 3 4514.1 0 1621.6
13 28 "Madrid" 1 1 1 2 3 4646.1 0 1621.6
13 28 "Madrid" 2 4 2 2 3 19012.2 0 1832.4
13 28 "Madrid" 2 4 2 3 3 11464.8 0 2370.7
13 28 "Madrid" 2 4 2 1 3 3690 0 2299.5
13 28 "Madrid" 1 3 1 1 1 8247 37.99 1922.1
13 28 "Madrid" 2 3 1 1 3 9520.6 0 1922.1
13 28 "Madrid" 2 2 1 2 1 22467.7 30.7 3901.9
13 28 "Madrid" 1 2 1 2 1 10192.8 32.22 3901.9
13 28 "Madrid" 1 2 1 3 3 4417.2 0 8288.7
13 28 "Madrid" 2 2 1 3 1 11114 32.94 8288.7
13 28 "Madrid" 1 2 1 2 1 9791.2 32.23 3755.9
13 28 "Madrid" 2 2 1 2 1 13526.8 35.73 3755.9
13 28 "Madrid" 1 3 1 2 1 16151.9 35.32 1986.2
13 28 "Madrid" 2 2 1 2 1 7133.9 31.17 1986.2
13 28 "Madrid" 1 3 1 1 1 9772.5 37.52 2807.1
13 28 "Madrid" 2 3 1 1 1 23468.8 30.7 2807.1
13 28 "Madrid" 1 2 1 2 1 7355.2 35.31 2807.1
13 28 "Madrid" 1 2 1 3 1 20511.2 36.1 6016.8
13 28 "Madrid" 2 2 1 3 3 8356.5 0 6016.8
13 28 "Madrid" 2 4 1 1 3 7601.8 0 2237.1
13 28 "Madrid" 1 4 1 1 3 11656.9 0 2237.1
13 28 "Madrid" 1 3 1 2 3 22836.1 0 3454.8
13 28 "Madrid" 2 3 1 2 3 17433.4 0 3454.8
13 28 "Madrid" 1 2 1 3 1 23318.6 35.07 2645.1
13 28 "Madrid" 2 2 1 3 1 33470.9 37.26 2645.1
13 28 "Madrid" 2 2 1 3 1 30703.7 36.64 215.7
13 28 "Madrid" 1 2 1 3 1 26468.6 37.58 215.7
13 28 "Madrid" 1 4 1 1 3 23191.5 0 3842.9
13 28 "Madrid" 2 4 1 1 3 3170.3 0 3842.9
13 28 "Madrid" 1 2 1 2 1 8647 30.59 3842.9
13 28 "Madrid" 1 3 1 1 1 13945.2 33.65 2880.1
13 28 "Madrid" 2 3 1 1 1 20763.7 36.1 2880.1
13 28 "Madrid" 2 2 1 3 3 18228.5 0 7091.7
13 28 "Madrid" 1 2 1 1 1 16050 31.79 7130.3
13 28 "Madrid" 2 2 1 1 3 14671.2 0 7130.3
13 28 "Madrid" 1 4 1 1 3 10948.1 0 1474.4
13 28 "Madrid" 2 4 1 1 3 5584.7 0 1474.4
13 28 "Madrid" 1 2 1 2 1 8378.3 29.15 7576.5
13 28 "Madrid" 2 2 1 2 1 9986.2 35.71 7576.5
13 28 "Madrid" 1 1 1 2 3 28544.2 0 7576.5
13 28 "Madrid" 2 1 1 2 3 10573.1 0 7576.5
13 28 "Madrid" 2 4 1 2 3 19772.5 0 1659.2
13 28 "Madrid" 1 2 1 2 1 16838.7 39.23 3599.3
13 28 "Madrid" 2 2 1 2 3 22378.1 0 3599.3
13 28 "Madrid" 2 4 1 3 3 8335.2 0 1659.2
13 28 "Madrid" 1 4 1 3 3 24864.4 0 5377.4
13 28 "Madrid" 2 3 1 3 1 19874.5 32.71 5377.4
13 28 "Madrid" 1 2 1 3 3 23570.5 0 5377.4
13 28 "Madrid" 1 2 1 2 3 6983.3 0 5377.4
13 28 "Madrid" 2 2 1 2 1 8693.6 29.69 6309.7
13 28 "Madrid" 1 1 1 2 1 23561 37.56 6309.7
13 28 "Madrid" 2 1 1 2 1 28099.9 34.47 6309.7
13 28 "Madrid" 1 4 1 1 3 12511.7 0 4157.6
13 28 "Madrid" 2 4 1 1 3 13881.8 0 4157.6
13 28 "Madrid" 1 4 1 2 3 13079.4 0 6010.5
13 28 "Madrid" 2 4 1 1 3 13322.3 0 6010.5
13 28 "Madrid" 1 3 2 2 1 17038.1 32.96 6010.5
13 28 "Madrid" 1 3 1 1 2 15760.3 0 2934.9
13 28 "Madrid" 2 3 1 1 3 9795.4 0 2934.9
13 28 "Madrid" 2 4 1 1 3 5583.2 0 2934.9
13 28 "Madrid" 1 3 1 3 1 24041.1 32.92 1719.5
13 28 "Madrid" 2 2 1 3 1 17964.9 37.51 3429.7
13 28 "Madrid" 1 3 1 2 1 9817.2 30.34 3429.7
13 28 "Madrid" 2 4 1 1 3 20479.2 0 3429.7
13 28 "Madrid" 1 3 1 2 1 13040.1 32.78 2368.6
13 28 "Madrid" 2 3 1 2 3 11632.1 0 2368.6
13 28 "Madrid" 2 1 1 3 1 8452 37.65 2368.6
13 28 "Madrid" 2 2 1 3 1 20295 33.2 2409.6
13 28 "Madrid" 1 2 1 2 1 8027.5 33.11 5013.9
13 28 "Madrid" 2 2 1 2 1 9401.5 28.96 5013.9
13 28 "Madrid" 1 2 1 1 1 8622.3 30.01 2009.9
13 28 "Madrid" 2 2 1 1 3 3792 0 2009.9
13 28 "Madrid" 1 1 1 1 1 15790 36.53 2009.9
13 28 "Madrid" 2 1 1 1 3 6347.5 0 2009.9
13 28 "Madrid" 1 2 1 2 1 19996.9 37.2 4195.8
13 28 "Madrid" 2 2 1 2 1 24607.7 32.16 4195.8
13 28 "Madrid" 1 4 1 1 3 8012.4 0 1778.9
13 28 "Madrid" 2 4 1 1 3 2971.1 0 1778.9
13 28 "Madrid" 1 4 1 1 3 14792.6 0 3299.8
13 28 "Madrid" 2 3 1 1 3 13583.5 0 3299.8
13 28 "Madrid" 2 3 1 3 3 17567.2 0 710.6
13 28 "Madrid" 2 2 1 3 3 9031.9 0 2064.6
13 28 "Madrid" 1 2 1 3 1 5217.6 37.03 2064.6
13 28 "Madrid" 1 2 1 2 1 11085.9 34.44 2727.7
13 28 "Madrid" 2 2 1 2 1 8225.5 39.99 2727.7
13 28 "Madrid" 1 1 1 2 3 36518.7 0 2727.7
13 28 "Madrid" 1 3 1 3 1 16743.3 37.31 4447.4
13 28 "Madrid" 2 3 1 3 3 38739.9 0 4447.4
13 28 "Madrid" 1 1 1 2 3 6643.5 0 4447.4
13 28 "Madrid" 2 3 1 3 3 10331.2 0 5339.2
13 28 "Madrid" 1 3 1 3 1 16756.3 38.51 5339.2
13 28 "Madrid" 1 2 1 3 1 18096.1 31.62 5339.2
13 28 "Madrid" 1 2 1 2 1 18461.6 37.77 6233.9
13 28 "Madrid" 2 2 1 3 1 25012.1 34.31 6233.9
13 28 "Madrid" 1 2 1 2 1 19391.4 32.53 3273.8
13 28 "Madrid" 2 2 1 3 1 12095.1 34.76 3273.8
13 28 "Madrid" 1 3 1 1 1 10621.2 32.93 6122.5
13 28 "Madrid" 2 2 1 1 3 8206.3 0 6122.5
13 28 "Madrid" 1 2 1 1 2 18083.8 0 6122.5
13 28 "Madrid" 1 3 1 3 3 21529.1 0 1307.4
13 28 "Madrid" 2 3 1 3 1 18752.7 30.36 1307.4
13 28 "Madrid" 1 2 1 3 1 7343.4 28.99 4636.4
13 28 "Madrid" 2 2 1 2 3 9553.9 0 4636.4
13 28 "Madrid" 2 4 1 1 3 9893.9 0 4347.3
13 28 "Madrid" 1 3 1 3 1 16427.4 24.95 2688.3
13 28 "Madrid" 2 2 1 3 1 14463.5 33.93 2688.3
13 28 "Madrid" 2 1 1 3 3 21488.6 0 2688.3
13 28 "Madrid" 1 3 1 2 3 7862.7 0 5776.3
13 28 "Madrid" 2 3 1 1 3 9077 0 5776.3
13 28 "Madrid" 2 2 1 3 1 4854.2 37.68 5776.3
13 28 "Madrid" 2 2 1 3 1 10299.1 33.09 5776.3
13 28 "Madrid" 2 4 1 1 3 5021.4 0 3982.1
13 28 "Madrid" 1 1 1 2 3 9838 0 3982.1
13 28 "Madrid" 1 2 1 2 1 4876.2 33.92 4955.8
13 28 "Madrid" 2 2 1 2 1 15888.6 33.3 4955.8
13 28 "Madrid" 2 1 1 2 3 7197 0 4955.8
13 28 "Madrid" 1 2 2 3 1 20436.2 31.44 4032.4
13 28 "Madrid" 2 2 2 3 3 17728.7 0 4032.4
13 28 "Madrid" 1 3 1 2 1 13500.2 35.64 2853.8
13 28 "Madrid" 2 2 1 2 1 10997.9 34.59 2853.8
13 28 "Madrid" 1 1 1 2 3 19851.4 0 2853.8
13 28 "Madrid" 1 3 1 1 1 117 32.47 1869.5
13 28 "Madrid" 2 3 1 2 3 9920.9 0 1869.5
13 28 "Madrid" 2 2 1 3 1 17150.9 36.47 1869.5
13 28 "Madrid" 2 2 1 2 1 23120.4 27.48 1869.5
13 28 "Madrid" 1 1 1 2 1 6715.8 32.53 1869.5
13 28 "Madrid" 2 4 1 2 3 8561.9 0 8095.1
13 28 "Madrid" 1 4 1 2 3 6544.4 0 8095.1
13 28 "Madrid" 1 2 1 3 1 37018.6 31.9 8095.1
13 28 "Madrid" 1 2 1 2 3 14250.8 0 8095.1
13 28 "Madrid" 1 2 1 1 1 10046 33.61 4862.6
13 28 "Madrid" 2 2 1 2 3 10452.6 0 4862.6
13 28 "Madrid" 2 1 1 2 1 15295.8 35.6 4862.6
13 28 "Madrid" 1 1 1 2 3 7605.6 0 4862.6
13 28 "Madrid" 1 4 1 1 3 14286.2 0 4157.6
13 28 "Madrid" 2 4 1 1 3 7486.6 0 4157.6
13 28 "Madrid" 1 2 1 3 1 4521.2 30.88 4636.8
13 28 "Madrid" 2 2 1 3 1 3905 28.31 4636.8
13 28 "Madrid" 2 2 1 3 3 29231.2 0 4136.8
13 28 "Madrid" 1 2 1 3 1 12628.5 36.58 4136.8
13 28 "Madrid" 2 4 1 1 3 10442.6 0 2351.5
13 28 "Madrid" 1 2 1 3 1 7963.2 34.33 4647.1
13 28 "Madrid" 2 2 1 3 3 19241.1 0 4647.1
13 28 "Madrid" 1 4 1 2 3 11839.3 0 2970.3
13 28 "Madrid" 2 3 1 1 3 11291.9 0 2970.3
13 28 "Madrid" 2 4 1 1 3 3323.8 0 8394.6
13 28 "Madrid" 1 2 1 2 1 13309.9 36.89 8394.6
13 28 "Madrid" 1 2 1 2 1 7278 40.9 3714.3
13 28 "Madrid" 2 2 1 2 2 10217 0 3714.3
13 28 "Madrid" 2 1 1 2 2 18558.3 0 3714.3
13 28 "Madrid" 1 1 1 2 1 14124.3 34.65 3714.3
13 28 "Madrid" 2 4 1 1 3 18698.8 0 3714.3
13 28 "Madrid" 2 2 1 2 1 9438.8 30.15 2918.8
13 28 "Madrid" 2 4 1 1 3 5721.3 0 2330.1
13 28 "Madrid" 1 4 1 2 3 8711.6 0 2330.1
13 28 "Madrid" 2 2 1 1 3 10294.2 0 2330.1
13 28 "Madrid" 2 3 1 2 1 15768.5 34.53 5380.6
13 28 "Madrid" 2 4 1 1 3 5297 0 5483
13 28 "Madrid" 1 3 1 2 1 21439.3 30 5483
13 28 "Madrid" 1 2 1 2 2 11583.5 0 5483
13 28 "Madrid" 1 4 1 2 3 4790.7 0 1590.2
13 28 "Madrid" 2 2 1 3 1 12037.8 30.65 4104.6
13 28 "Madrid" 1 2 1 3 1 24354.6 36.73 2676.6
13 28 "Madrid" 2 2 1 3 1 20495.6 31.09 2676.6
13 28 "Madrid" 1 3 1 3 1 18875.4 34.38 5770
13 28 "Madrid" 2 3 1 2 3 17955.1 0 5770
13 28 "Madrid" 2 1 1 3 1 15354.7 41.85 5770
13 28 "Madrid" 1 1 1 2 3 3547.9 0 5770
13 28 "Madrid" 1 2 1 2 1 11243.3 32.88 6439.4
13 28 "Madrid" 2 2 1 2 1 21986.5 26 6439.4
13 28 "Madrid" 2 3 1 2 3 21010.4 0 1552.7
13 28 "Madrid" 1 3 1 1 1 9744.9 34.99 4448.3
13 28 "Madrid" 2 3 1 1 3 10175.8 0 4448.3
13 28 "Madrid" 1 2 1 3 1 24318.4 33.56 4448.3
13 28 "Madrid" 1 2 1 3 1 17732.3 33.65 3643.9
13 28 "Madrid" 2 2 1 2 1 9050.1 33.16 3643.9
13 28 "Madrid" 1 4 1 1 3 10486.8 0 4258.3
13 28 "Madrid" 2 4 1 1 3 8157.4 0 4258.3
13 28 "Madrid" 2 2 1 2 1 14780.8 36.22 4258.3
13 28 "Madrid" 1 3 1 2 1 16600.2 32.09 2635.5
13 28 "Madrid" 2 3 1 3 2 18018.9 0 2635.5
13 28 "Madrid" 2 2 1 3 1 28406.5 28.49 2635.5
13 28 "Madrid" 1 1 1 3 3 19764.1 0 2635.5
13 28 "Madrid" 1 2 1 2 1 16988.3 30.18 8221.5
13 28 "Madrid" 1 2 1 3 1 47027.1 33.13 5817.9
13 28 "Madrid" 2 2 1 3 3 9673.3 0 5817.9
13 28 "Madrid" 1 4 1 3 3 15470.5 0 3180.4
13 28 "Madrid" 2 3 1 2 3 3280.5 0 3180.4
13 28 "Madrid" 1 4 1 3 3 2139.5 0 2663.7
13 28 "Madrid" 2 3 1 1 3 13747.4 0 2663.7
13 28 "Madrid" 1 2 1 3 1 35701.3 34.6 6716
13 28 "Madrid" 2 2 1 3 1 6454.4 37.41 6716
13 28 "Madrid" 2 3 1 2 1 27225.6 29.71 3304.2
13 28 "Madrid" 2 2 1 3 1 40568.6 40.21 3304.2
13 28 "Madrid" 2 4 1 2 3 4121.3 0 3593.9
13 28 "Madrid" 2 2 1 3 1 13891.2 35.41 3593.9
13 28 "Madrid" 2 3 1 2 2 4764.7 0 3593.9
13 28 "Madrid" 1 3 1 1 1 10819.9 38.9 4497.6
13 28 "Madrid" 2 3 1 1 3 7160.3 0 4497.6
13 28 "Madrid" 2 2 1 3 1 31307.8 32.47 4497.6
13 28 "Madrid" 1 2 1 3 1 30704.2 31.4 4497.6
13 28 "Madrid" 1 3 1 1 1 10078.1 32.97 2390.6
13 28 "Madrid" 2 2 1 2 1 3940.4 29.88 2390.6
13 28 "Madrid" 2 4 2 1 3 7115.3 0 5626.2
13 28 "Madrid" 2 2 2 2 1 12436.6 28.58 2137.8
13 28 "Madrid" 1 3 1 2 3 29364.2 0 2137.8
13 28 "Madrid" 2 3 1 1 3 11199.4 0 846.5
13 28 "Madrid" 2 2 1 3 1 15413.5 35.42 5190
13 28 "Madrid" 2 2 2 2 1 20526.2 33.12 3458.9
13 28 "Madrid" 1 2 2 3 1 9441.3 34.66 3458.9
13 28 "Madrid" 1 4 1 2 1 17544.8 31.78 3180.4
13 28 "Madrid" 2 3 1 2 3 6468.8 0 3180.4
13 28 "Madrid" 2 2 1 3 1 12141.9 35.93 5185.4
13 28 "Madrid" 1 2 1 3 1 12174.5 37.17 5185.4
13 28 "Madrid" 1 3 1 2 1 9340.9 34.74 1995.6
13 28 "Madrid" 1 4 2 1 3 10372.3 0 2515.8
13 28 "Madrid" 2 4 2 1 3 3159.2 0 2515.8
13 28 "Madrid" 2 2 1 3 1 27454.7 35.57 5190
13 28 "Madrid" 1 4 1 3 3 18786.3 0 2477.9
13 28 "Madrid" 2 1 1 2 3 7888.1 0 2477.9
13 28 "Madrid" 1 2 1 3 1 29411.1 32.4 3361.7
13 28 "Madrid" 2 4 1 1 3 3653.5 0 3361.7
13 28 "Madrid" 1 4 1 2 3 7923.9 0 3449.6
13 28 "Madrid" 2 4 1 2 3 4264.6 0 3449.6
13 28 "Madrid" 2 4 1 2 3 3841.5 0 5653.8
13 28 "Madrid" 2 2 1 2 3 8061.9 0 3851.6
13 28 "Madrid" 1 2 1 2 1 12532.1 33.67 3851.6
13 28 "Madrid" 2 4 2 1 3 3940.8 0 4186.2
13 28 "Madrid" 2 2 2 1 1 16414.1 33.3 10281.4
13 28 "Madrid" 1 2 2 3 1 5052 38.6 10281.4
13 28 "Madrid" 1 2 2 3 1 30015.2 35.73 1924.9
13 28 "Madrid" 2 2 2 3 1 9635.5 32.78 1924.9
13 28 "Madrid" 1 2 2 3 1 27292.2 30.18 2504.2
13 28 "Madrid" 2 2 2 3 1 15270.4 33.07 2504.2
13 28 "Madrid" 2 4 2 3 3 27569.6 0 1659.2
13 28 "Madrid" 1 3 1 1 2 16800.1 0 2497.7
13 28 "Madrid" 2 3 1 1 3 31106 0 2497.7
13 28 "Madrid" 1 1 1 2 2 9552 0 2497.7
13 28 "Madrid" 1 2 1 2 1 2439.6 31.59 1093.9
13 28 "Madrid" 2 2 1 2 3 6709.7 0 1093.9
13 28 "Madrid" 1 2 1 1 1 2824.4 33 4195.9
13 28 "Madrid" 2 2 1 2 1 4847.2 37.8 4195.9
13 28 "Madrid" 2 2 1 3 1 10164.7 33.02 2522.3
13 28 "Madrid" 1 1 1 2 3 4600.6 0 2522.3
13 28 "Madrid" 1 3 1 1 1 7601.2 29.35 3281.2
13 28 "Madrid" 2 2 1 2 1 11413.8 34.84 3281.2
13 28 "Madrid" 1 1 1 2 1 27573.6 36.59 3281.2
13 28 "Madrid" 1 1 1 2 3 9029.8 0 3281.2
13 28 "Madrid" 2 4 1 1 3 5194.3 0 2576.6
13 28 "Madrid" 2 3 1 1 3 9208.1 0 3003.1
13 28 "Madrid" 1 3 1 2 1 11602.4 40.13 3003.1
13 28 "Madrid" 1 1 1 2 1 7071.8 33.48 3003.1
13 28 "Madrid" 1 2 1 3 1 42639.8 33.64 2392.2
13 28 "Madrid" 2 2 1 3 1 11698.9 35.13 6288.9
13 28 "Madrid" 1 2 1 3 1 13370.9 33.65 6288.9
13 28 "Madrid" 2 2 1 3 1 16946.6 36.53 4958.1
13 28 "Madrid" 2 4 1 1 3 17046.6 0 4584
13 28 "Madrid" 1 4 1 1 3 20026.8 0 2451.6
13 28 "Madrid" 2 4 1 1 3 1244.1 0 2451.6
13 28 "Madrid" 2 3 1 2 3 17022 0 1149.5
13 28 "Madrid" 1 3 1 1 1 7639.1 34.69 4810.3
13 28 "Madrid" 2 3 1 1 1 9289.4 30.43 4810.3
13 28 "Madrid" 1 2 1 2 1 3898.2 35.65 4810.3
13 28 "Madrid" 1 2 1 2 1 7570.6 34.12 4810.3
13 28 "Madrid" 1 2 1 2 1 7151.8 34.22 4136.8
13 28 "Madrid" 1 4 1 1 3 6680.1 0 399.1
13 28 "Madrid" 2 3 1 1 3 9750.7 0 399.1
13 28 "Madrid" 1 2 1 2 1 13765 31.37 2492.2
13 28 "Madrid" 2 2 1 2 1 14647.3 34.7 2492.2
13 28 "Madrid" 1 2 1 2 1 15149.9 29.19 3186.1
13 28 "Madrid" 2 2 1 2 3 3026.3 0 3186.1
13 28 "Madrid" 1 3 1 3 3 11400.7 0 5688
13 28 "Madrid" 2 3 1 3 3 15324.6 0 5688
13 28 "Madrid" 2 2 1 3 1 10103.7 32.94 5688
13 28 "Madrid" 2 2 1 3 1 6363.9 36.3 5688
13 28 "Madrid" 1 2 1 2 3 13155.9 0 4192.7
13 28 "Madrid" 2 2 1 2 1 14045.8 31.38 4192.7
13 28 "Madrid" 2 1 1 2 1 12906.5 32.01 4192.7
13 28 "Madrid" 1 4 1 2 3 13962.9 0 4759
13 28 "Madrid" 2 4 1 2 3 6707.7 0 4759
13 28 "Madrid" 2 3 1 2 3 12142 0 1435
13 28 "Madrid" 1 2 1 2 1 14703.9 35.24 1435
13 28 "Madrid" 1 3 1 1 3 10025.5 0 2295.2
13 28 "Madrid" 2 3 1 2 3 8746.4 0 2295.2
13 28 "Madrid" 2 3 1 2 1 12521.7 32.28 2883.4
13 28 "Madrid" 1 3 1 3 1 14250.6 35.5 2883.4
13 28 "Madrid" 2 1 1 2 3 5005.4 0 2883.4
13 28 "Madrid" 1 4 1 1 3 13581.5 0 2408.8
13 28 "Madrid" 2 2 1 3 1 9188.2 31.4 12003.6
13 28 "Madrid" 2 3 1 1 3 7463.7 0 3470.4
13 28 "Madrid" 1 3 1 3 1 25183.9 34.48 2297.1
13 28 "Madrid" 2 3 1 2 3 12197.9 0 2297.1
13 28 "Madrid" 2 1 1 2 3 9323.3 0 2297.1
13 28 "Madrid" 1 3 1 3 3 10893.5 0 3215.6
13 28 "Madrid" 2 3 1 3 1 32255.1 26.88 3215.6
